,Turn Taking,Time,Total,Simulation,SA,Total Turns,Total Turns 1,Total Turns 2,Total Turns 3,Total Turns 4
0,4,00:01:50.682000, ill take the village in the southeast,0,5.0,238,43,80,54,61
1,2,00:03:20.363000,ill take the houses in the north,0,5.0,238,43,80,54,61
2,4,00:03:30.643000, rgr whos the heli?,0,3.0,238,43,80,54,61
3,1,00:04:01.252000,me,0,,238,43,80,54,61
4,2,00:04:08.435000,it moves so much faster than fire truck,0,,238,43,80,54,61
5,3,00:04:32.825000,the fire truck is annoyingly slow,0,,238,43,80,54,61
6,4,00:04:40.982000,our weakest area seems to be by the northeast,0,,238,43,80,54,61
7,4,00:05:28.996000,how long is the heli water lasting?,0,,238,43,80,54,61
8,2,00:05:39.654000,pretty decent amount,0,,238,43,80,54,61
9,1,00:05:42.847000,not very long,0,,238,43,80,54,61
10,3,00:06:13.792000,is someone keeping an eye on the southeast village,0,,238,43,80,54,61
11,4,00:06:22.127000,rgr i got it,0,3.0,238,43,80,54,61
12,1,00:06:46.442000,rgr?,0,,238,43,80,54,61
13,4,00:06:57.496000,yeah i got it lol,0,3.0,238,43,80,54,61
14,2,00:07:04.187000,i was wondering what that was too lol\,0,,238,43,80,54,61
15,3,00:08:02.852000,fire in the trees,0,,238,43,80,54,61
16,4,00:08:38.092000,anybody figure out how it spreads yet?,0,,238,43,80,54,61
17,3,00:08:49.056000,no lol,0,,238,43,80,54,61
18,1,00:09:20.191000,direction of wind means direction ofnext fire outbreak,0,,238,43,80,54,61
19,2,00:09:21.141000,top left,0,,238,43,80,54,61
20,3,00:09:47.404000,makes sense,0,,238,43,80,54,61
21,4,00:09:53.121000,so we have 2 trucks and 2 birds?,0,3.0,238,43,80,54,61
22,2,00:10:00,think so,0,,238,43,80,54,61
23,4,00:00:34.922000,lot of stuff,1,,238,43,80,54,61
24,2,00:00:41.399000,yeah we need to spread out,1,,238,43,80,54,61
25,4,00:00:52.538000,still 2 bird and 2 trucks right?,1,3.0,238,43,80,54,61
26,2,00:00:54.672000,i got north east,1,4.0,238,43,80,54,61
27,3,00:00:56.063000,ill watch the village on the west side,1,5.0,238,43,80,54,61
28,2,00:01:03.769000,if that works best yeah,1,,238,43,80,54,61
29,4,00:01:04.028000,rgr,1,,238,43,80,54,61
30,4,00:02:57.071000,i think if we try to save everything well get screwed,1,5.0,238,43,80,54,61
31,1,00:03:28.754000,do they place more emphasis on villages than trees?,1,6.0,238,43,80,54,61
32,3,00:03:33.025000,im sticking to one side of the map,1,4.0,238,43,80,54,61
33,4,00:03:43.094000,rgr top right fire,1,,238,43,80,54,61
34,2,00:03:43.913000,im gonna stay around the top,1,4.0,238,43,80,54,61
35,2,00:03:49.558000,what is rgr!,1,,238,43,80,54,61
36,1,00:03:56.670000,haha,1,,238,43,80,54,61
37,4,00:03:58.619000,sorry,1,,238,43,80,54,61
38,2,00:04:18.707000,what does it stand for,1,,238,43,80,54,61
39,1,00:04:28.923000,i'll stay aroud middle tree area,1,3.0,238,43,80,54,61
40,4,00:04:29.669000,roger like ok,1,,238,43,80,54,61
41,2,00:04:37.533000,ohhhhhh,1,,238,43,80,54,61
42,4,00:04:52.515000,left side middle,1,,238,43,80,54,61
43,3,00:05:28.797000,im not getting any action lol,1,6.0,238,43,80,54,61
44,2,00:05:41.077000,im not much either haha,1,,238,43,80,54,61
45,4,00:06:24.108000,these fires spread really fast,1,,238,43,80,54,61
46,3,00:06:39.642000,really cuz i dont see any lol,1,,238,43,80,54,61
