,SA,Turn Taking,Time,Total,Simulation,Total Turns,Total Turns 1,Total Turns 2,Total Turns 3,Total Turns 4
0,5.0,1.0,00:01:56.318000,are we going to assign little quadrants?,0,90,20,18,31,21
1,,3.0,00:02:08.604000,that sounds good to me,0,90,20,18,31,21
2,5.0,1.0,00:03:20.972000,I will takie the forest on the bottom left,0,90,20,18,31,21
3,5.0,2.0,00:04:17.605000,I can take the one on the bottom right,0,90,20,18,31,21
4,5.0,3.0,00:04:41.071000,I will take the village in the bottom right,0,90,20,18,31,21
5,6.0,1.0,00:04:59.305000,So that leaves 3 has the top forest and village,0,90,20,18,31,21
6,6.0,4.0,00:05:29.058000,I can take those at the top,0,90,20,18,31,21
7,6.0,3.0,00:05:36.066000,I can also be back up for the forest on the bottom right,0,90,20,18,31,21
8,5.0,1.0,00:06:04.499000,ill back up for the top forest,0,90,20,18,31,21
9,,3.0,00:09:06.605000,I think we got this,0,90,20,18,31,21
10,6.0,2.0,00:09:53.131000,If we need water we should message on here so that the backups can watch the sections until we get back,0,90,20,18,31,21
11,6.0,1.0,00:00:29.515000,okiay i have village on teh left and upper right portion of the big forest,1,90,20,18,31,21
12,6.0,3.0,00:00:29.837000,I have the lower part of the forest on the right and the small village,1,90,20,18,31,21
13,,2.0,00:00:36.571000,This map is a lot bigger than the last one,1,90,20,18,31,21
14,5.0,2.0,00:01:01.842000,I will take the top but just beware of the scale of the map...,1,90,20,18,31,21
15,6.0,4.0,00:01:03.033000,I can hover around in the middle and provide air support to all secotrs,1,90,20,18,31,21
16,6.0,3.0,00:01:08.280000,I will back up the whoever has the large forest.,1,90,20,18,31,21
17,4.0,1.0,00:01:10.236000,i mean middle portion of big forest,1,90,20,18,31,21
18,,2.0,00:01:58.573000,right side is on fire,1,90,20,18,31,21
19,,3.0,00:07:12.392000,everyone watch your fuel level on the right side of the screen,1,90,20,18,31,21
20,,1.0,00:09:04.470000,do we get fuel somwhere or swap vehicles,1,90,20,18,31,21
21,,2.0,00:09:42.849000,Also watch your health levels,1,90,20,18,31,21
22,,1.0,00:13:19.112000,that was really hard,1,90,20,18,31,21
23,,3.0,00:13:36.349000,there was no way to stop that,1,90,20,18,31,21
24,,1.0,00:00:51.435000,Are we answering the questions on here?,2,90,20,18,31,21
25,,4.0,00:01:00.636000,yep,2,90,20,18,31,21
26,4.0,2.0,00:01:10.403000,I think we did alright did people have their screens zoomed out so you could see the whole map??,2,90,20,18,31,21
27,,4.0,00:01:20.589000,I did,2,90,20,18,31,21
28,3.0,3.0,00:01:22.728000,The team passed on information by telling each other where fires were starting and also to watch out for our fuel levels and health levels and where to find that information,2,90,20,18,31,21
29,,1.0,00:02:11.695000,Okiay. Well I think that we communicated enough it was just way harder than we expected.,2,90,20,18,31,21
30,6.0,2.0,00:02:16.553000,I think having the screen all the way out helped because you could see not only your area but also other people that needed help. I know I'm going to do that again.,2,90,20,18,31,21
