,SA,Turn Taking,Time,Total,Simulation,Total Turns,Total Turns 1,Total Turns 2,Total Turns 3,Total Turns 4
0,,2,00:00:00,Howdy,0,260,74,96,32,58
1,,4,00:01:33.806000,Hi,0,260,74,96,32,58
2,,2,00:01:36.338000,Well helicopters seem to be faste so it would probably be best if they were to access farther areas,0,260,74,96,32,58
3,,2,00:01:48.477000,Where as the fire trucks should congregate closer to towers,0,260,74,96,32,58
4,,4,00:01:49.775000,i agreed,0,260,74,96,32,58
5,,3,00:01:50.549000,hello everyone,0,260,74,96,32,58
6,,1,00:01:57.069000,agreed,0,260,74,96,32,58
7,,2,00:01:57.889000,Howdy 3,0,260,74,96,32,58
8,,3,00:02:01.772000,good idea about us trucks,0,260,74,96,32,58
9,,2,00:02:01.932000,er 2,0,260,74,96,32,58
10,,2,00:02:47.032000,Fires also seem to spread rapidly after a few seconds so new ones should be prioritized,0,260,74,96,32,58
11,,1,00:03:03.469000,dont forget to check the windspeed and the directioln,0,260,74,96,32,58
12,,2,00:03:14.780000,Ah yes.,0,260,74,96,32,58
13,,2,00:03:43.577000,on the later stages of burning they seem to be invulnerable to wate so time should not be wasted with fires that are already going out,0,260,74,96,32,58
14,,2,00:04:19.386000,I can't tell right now but does it seem to anyone else that larger fires require more people to extinguish?,0,260,74,96,32,58
15,,1,00:04:51.284000,I haven't really notived that,0,260,74,96,32,58
16,,2,00:05:00.030000,i may be wrong in that case,0,260,74,96,32,58
17,,1,00:05:07.326000,not to say that it's not true,0,260,74,96,32,58
18,,3,00:05:12.082000,i can't exactly tell yet,0,260,74,96,32,58
19,,1,00:05:40.061000,new wind direction,0,260,74,96,32,58
20,,2,00:05:43.621000,Aye,0,260,74,96,32,58
21,,2,00:05:58.252000,Also once out health reaches 0 do we die?,0,260,74,96,32,58
22,,1,00:06:12.584000,no. thats your water supply,0,260,74,96,32,58
23,,1,00:06:22.031000,nvm,0,260,74,96,32,58
24,,2,00:06:25.553000,"on the right hand side there is a ""unit health""",0,260,74,96,32,58
25,,3,00:06:29.696000,water supply is watertank i thought,0,260,74,96,32,58
26,,1,00:06:32.757000,i havent looked over there,0,260,74,96,32,58
27,,1,00:06:37.779000,my bad,0,260,74,96,32,58
28,,4,00:06:45.613000,whta's that little orange down arrow??,0,260,74,96,32,58
29,,2,00:06:46.293000,Don't sweat it,0,260,74,96,32,58
30,,2,00:07:18.130000,The orange down arrow seems to be... I'm not sure but there's smoke rising from it,0,260,74,96,32,58
31,,2,00:07:35.858000,Not entirely sure what it is,0,260,74,96,32,58
32,,1,00:07:52.780000,no wind direction,0,260,74,96,32,58
33,,1,00:08:09.401000,new*,0,260,74,96,32,58
34,3.0,2,00:08:28.873000,we also have a fuel level. Will that deplenish?,0,260,74,96,32,58
35,,1,00:08:39.260000,is that flame in the left forest bothering anyone else?,0,260,74,96,32,58
36,,2,00:08:49.978000,I don't see one,0,260,74,96,32,58
37,5.0,2,00:09:27.158000,Also are we going to assign regions?,0,260,74,96,32,58
38,,1,00:09:30.848000,it's right next to the helo,0,260,74,96,32,58
39,,1,00:09:45.325000,we can,0,260,74,96,32,58
40,,2,00:09:53.783000,I can't see one. it may be a client side bug,0,260,74,96,32,58
41,,3,00:09:59.606000,I think we should assign regions especially for the trucks,0,260,74,96,32,58
42,,2,00:00:00,Howdy,1,260,74,96,32,58
43,,2,00:00:30.495000,Alright one truck should stick by each tower and the helo  should float between them,1,260,74,96,32,58
44,3.0,4,00:00:35.572000,I'm a truck. I can take the upper left corner,1,260,74,96,32,58
45,,1,00:00:37.535000,check,1,260,74,96,32,58
46,,2,00:00:48.997000,Roger,1,260,74,96,32,58
47,5.0,3,00:00:52.789000,I'll go to the lower middle portion (truck),1,260,74,96,32,58
48,,2,00:01:46.990000,fore on rigvht,1,260,74,96,32,58
49,,1,00:02:09.080000,Check wind direction,1,260,74,96,32,58
50,,2,00:03:14.969000,oh geez,1,260,74,96,32,58
51,,1,00:03:23,between outbreaks fill your water supplies,1,260,74,96,32,58
52,,4,00:03:24.664000,LOL,1,260,74,96,32,58
53,,4,00:03:30.107000,yup,1,260,74,96,32,58
54,,1,00:03:52.423000,top right,1,260,74,96,32,58
55,,1,00:04:52.723000,for quick typing. North = N West = W and so on,1,260,74,96,32,58
56,,1,00:05:14.320000,WD = wind directon,1,260,74,96,32,58
57,,2,00:05:16.826000,also keep eyes on health,1,260,74,96,32,58
58,6.0,1,00:05:39.846000,how do we fix health??,1,260,74,96,32,58
59,,4,00:05:44.405000,yeah,1,260,74,96,32,58
60,,2,00:05:44.634000,you  don't,1,260,74,96,32,58
61,,4,00:05:48.977000,dang,1,260,74,96,32,58
62,,2,00:05:58.042000,dire E,1,260,74,96,32,58
63,6.0,4,00:06:24.711000,probably shouldn't drive much since we can't refuel,1,260,74,96,32,58
64,3.0,2,00:06:59.151000,someone is controlling 3 vehicles,1,260,74,96,32,58
65,3.0,1,00:07:07.763000,i just noticed that,1,260,74,96,32,58
66,,2,00:07:12.471000,8facepalm*,1,260,74,96,32,58
67,,2,00:07:18.829000,town fire W,1,260,74,96,32,58
68,,1,00:07:29.865000,Town NE,1,260,74,96,32,58
69,,2,00:07:47.425000,dag nabbit,1,260,74,96,32,58
70,,1,00:07:53.165000,Truck take NE with Water tower,1,260,74,96,32,58
71,,1,00:08:00.840000,Helo Take W,1,260,74,96,32,58
72,,1,00:08:35.687000,So can we have more than 1 vehicle at a time?,1,260,74,96,32,58
73,,4,00:08:38.248000,did anyone else know that you can select many at one time?,1,260,74,96,32,58
74,,2,00:08:43.274000,Yup,1,260,74,96,32,58
75,,4,00:08:48.282000,yes. I just did it on accident,1,260,74,96,32,58
76,,4,00:09:04.798000,haven't learned how to control them idividually yet thouh,1,260,74,96,32,58
77,,1,00:09:05.270000,Kristin jsut said we can if we want,1,260,74,96,32,58
78,,2,00:09:19.349000,Did she? That seems OP,1,260,74,96,32,58
79,3.0,1,00:10:08.264000,I have two Helos!! WOO!,1,260,74,96,32,58
80,,2,00:10:16.423000,OP,1,260,74,96,32,58
81,,1,00:10:25.865000,NE,1,260,74,96,32,58
82,,1,00:10:50.805000,What is OP?,1,260,74,96,32,58
83,,2,00:10:54.692000,Overpowered,1,260,74,96,32,58
84,,2,00:12:10.089000,I have a newfound appreciation for fire departments,1,260,74,96,32,58
85,,1,00:12:27.863000,WTF was that?,1,260,74,96,32,58
86,,2,00:12:31.174000,Fire.,1,260,74,96,32,58
87,,2,00:12:51.787000,Too much of it actually,1,260,74,96,32,58
88,6.0,4,00:12:53.816000,how did you guys get all your trucks helo's moving at the same time?,1,260,74,96,32,58
89,,1,00:12:54.106000,We should have a memoriall for Smokey the bear,1,260,74,96,32,58
90,6.0,2,00:13:18.980000,I'll start the funeral plans,1,260,74,96,32,58
