,SA,Turn Taking,Time,Total,Simulation,Total Turns,Total Turns 1,Total Turns 2,Total Turns 3,Total Turns 4
0,,1,00:00:51.678000,hello,0,196,71,49,41,35
1,,4,00:03:34.467000,Hello,0,196,71,49,41,35
2,,2,00:03:41.880000,hello,0,196,71,49,41,35
3,,3,00:04:26.669000,hello,0,196,71,49,41,35
4,,1,00:04:40.252000,i feel bad for the town lol,0,196,71,49,41,35
5,,1,00:04:54.531000,the little town,0,196,71,49,41,35
6,,2,00:04:59.696000,lol,0,196,71,49,41,35
7,,3,00:05:04.841000,nothing is on fire,0,196,71,49,41,35
8,,1,00:05:10.816000,i know,0,196,71,49,41,35
9,,1,00:06:16.702000,well this is easy,0,196,71,49,41,35
10,,4,00:06:35.247000,Lol!! I know right?,0,196,71,49,41,35
11,6.0,2,00:06:51.829000,anyone want to race??,0,196,71,49,41,35
12,,1,00:07:00.150000,sure! haha,0,196,71,49,41,35
13,4.0,1,00:07:20.547000,top right to bottom?,0,196,71,49,41,35
14,,1,00:07:39.119000,fire!,0,196,71,49,41,35
15,,4,00:07:46.326000,Where?,0,196,71,49,41,35
16,,3,00:07:54.779000,here we go!,0,196,71,49,41,35
17,,1,00:08:43.551000,make sure to protect mid,0,196,71,49,41,35
18,3.0,3,00:09:03.272000,i dont even know who's on my team...,0,196,71,49,41,35
19,,1,00:09:03.566000,i think it will catch town on fire if we don't,0,196,71,49,41,35
20,3.0,1,00:09:26.640000,the 4 of us are on a team lol,0,196,71,49,41,35
21,,1,00:09:38.391000,thats all you need to know,0,196,71,49,41,35
22,3.0,2,00:09:46.150000,we are team fire fighters..,0,196,71,49,41,35
23,,1,00:09:51.642000,haha,0,196,71,49,41,35
24,4.0,3,00:09:52.516000,oh my gosh i thought everyones was on here. got it  lol,0,196,71,49,41,35
25,,1,00:00:23.483000,ok make sure to protect the towns,1,196,71,49,41,35
26,,1,00:00:31.610000,wind is south,1,196,71,49,41,35
27,,1,00:00:46.689000,oh and i ment the big towns lol,1,196,71,49,41,35
28,,2,00:00:52.677000,lol,1,196,71,49,41,35
29,,1,00:01:08.819000,the little ones will prolly burn,1,196,71,49,41,35
30,,4,00:01:22.309000,Fire to the North!!,1,196,71,49,41,35
31,,4,00:02:18.874000,Fire to the East!!,1,196,71,49,41,35
32,,2,00:02:34.330000,its everywhere!!!,1,196,71,49,41,35
33,,1,00:02:39.348000,haha,1,196,71,49,41,35
34,,3,00:03:02.929000,we got this!,1,196,71,49,41,35
35,5.0,1,00:03:24.316000,i'll stay bottom left unless you need help,1,196,71,49,41,35
36,,2,00:03:49.113000,top right,1,196,71,49,41,35
37,,4,00:03:59.266000,O.K.,1,196,71,49,41,35
38,,1,00:04:03.576000,,1,196,71,49,41,35
39,,1,00:05:11.506000,north,1,196,71,49,41,35
40,,3,00:05:45.418000,good work,1,196,71,49,41,35
41,,3,00:07:19.093000,town!,1,196,71,49,41,35
42,6.0,4,00:07:37.274000,On it!!,1,196,71,49,41,35
43,,1,00:08:01.104000,dumb people cought there house on fire,1,196,71,49,41,35
44,,1,00:08:04.632000,jk,1,196,71,49,41,35
45,,1,00:08:08.468000,lol,1,196,71,49,41,35
46,,2,00:08:15.299000,frying a turkey prolly,1,196,71,49,41,35
47,,1,00:08:21.086000,haha,1,196,71,49,41,35
48,,3,00:08:25.048000,left the stove on  haha,1,196,71,49,41,35
49,,4,00:08:29.003000,House partaay!!,1,196,71,49,41,35
50,,2,00:08:39.648000,raised the roof,1,196,71,49,41,35
51,,3,00:08:46.748000,the roof is on fire,1,196,71,49,41,35
52,,1,00:08:47.336000,LOL,1,196,71,49,41,35
53,,4,00:09:34.266000,Anything??,1,196,71,49,41,35
54,,3,00:09:39.811000,not that i can see,1,196,71,49,41,35
55,,4,00:09:44.392000,House!!,1,196,71,49,41,35
56,,2,00:09:45.105000,west,1,196,71,49,41,35
57,,1,00:11:12.027000,mid,1,196,71,49,41,35
58,,4,00:11:37.403000,Big fire in mid!!,1,196,71,49,41,35
59,,3,00:11:55.539000,shoooooot!,1,196,71,49,41,35
60,,4,00:11:59.745000,All hands on deck!!,1,196,71,49,41,35
61,,3,00:12:48.964000,oh my...,1,196,71,49,41,35
62,,1,00:12:57.829000,man it wasn't stopping,1,196,71,49,41,35
63,,4,00:13:00.869000,Where now??,1,196,71,49,41,35
64,,3,00:13:03.996000,our forest is dead,1,196,71,49,41,35
65,,1,00:13:16,it will grow back eventually,1,196,71,49,41,35
66,,3,00:13:25.920000,true!,1,196,71,49,41,35
67,,2,00:13:41.495000,east,1,196,71,49,41,35
68,,1,00:13:45.403000,,1,196,71,49,41,35
