,SA,Turn Taking,Time,Total,Simulation,Total Turns,Total Turns 1,Total Turns 2,Total Turns 3,Total Turns 4
0,5.0,1,00:00:43.113000,i will cover the houses,0,128,23,38,44,23
1,3.0,3,00:01:00.243000,at bottom or top?,0,128,23,38,44,23
2,4.0,1,00:01:07.223000,at the top,0,128,23,38,44,23
3,5.0,3,00:02:01.717000,ill get houses at the bottom,0,128,23,38,44,23
4,,3,00:02:50.411000,if there is too much fire let someone know and we can tackle it together,0,128,23,38,44,23
5,,3,00:04:08.835000,also i think the fire only moves in the direction of the wind,0,128,23,38,44,23
6,,2,00:04:24.144000,clever observation.,0,128,23,38,44,23
7,,3,00:06:00.299000,new direction,0,128,23,38,44,23
8,,2,00:06:41.533000,zzzz,0,128,23,38,44,23
9,,3,00:06:52.108000,lol same here,0,128,23,38,44,23
10,,4,00:07:00.649000,double kill...ohhh,0,128,23,38,44,23
11,,1,00:07:10.090000,halo fans?,0,128,23,38,44,23
12,,3,00:07:22.932000,right here!,0,128,23,38,44,23
13,,2,00:07:35.841000,On occasion,0,128,23,38,44,23
14,,3,00:07:38.158000,wind south,0,128,23,38,44,23
15,,3,00:08:18.430000,wind east,0,128,23,38,44,23
16,,3,00:08:25.329000,now north,0,128,23,38,44,23
17,,2,00:08:49.971000,skyrim?,0,128,23,38,44,23
18,,4,00:08:58.289000,well the woods are pretty much gone,0,128,23,38,44,23
19,,3,00:08:58.380000,can any one sit in the middle forest area?,0,128,23,38,44,23
20,,2,00:09:07.198000,got it,0,128,23,38,44,23
21,,3,00:09:13.530000,Cool Thanks,0,128,23,38,44,23
22,,2,00:09:29.634000,de nada,0,128,23,38,44,23
23,,3,00:09:48.220000,"""muy bien Great"" says dora",0,128,23,38,44,23
24,,1,00:09:57.303000,will fire occur in the already burned areas?,0,128,23,38,44,23
25,,2,00:09:59.449000,haha,0,128,23,38,44,23
26,4.0,3,00:00:09.652000,double helicopter on mid,1,128,23,38,44,23
27,6.0,1,00:00:18.128000,i hAVE ATOP RIGTH CORNER,1,128,23,38,44,23
28,,2,00:00:27.286000,OK,1,128,23,38,44,23
29,,4,00:00:38.719000,houses on left,1,128,23,38,44,23
30,,3,00:01:00.287000,forest and houses bottom right,1,128,23,38,44,23
31,,2,00:01:08.798000,middle,1,128,23,38,44,23
32,,3,00:01:54.889000,watch the wind it can only move in that direction,1,128,23,38,44,23
33,,3,00:02:57.082000,thanks for the help on that one,1,128,23,38,44,23
34,3.0,3,00:06:14.069000,is there a place to refuel?,1,128,23,38,44,23
35,,3,00:06:22.028000,for gas,1,128,23,38,44,23
36,,2,00:06:26.341000,don't think so,1,128,23,38,44,23
37,,3,00:10:35.985000,wind moving south,1,128,23,38,44,23
38,,3,00:12:08.723000,mid fire,1,128,23,38,44,23
39,,4,00:12:38.301000,half the forest gone..,1,128,23,38,44,23
40,,2,00:13:01.989000,ermahgerd,1,128,23,38,44,23
41,,1,00:13:13.992000,haha that was intense,1,128,23,38,44,23
42,,4,00:13:19.091000,youre fired...,1,128,23,38,44,23
43,,2,00:13:27.613000,phew *wipes sweat off brow*,1,128,23,38,44,23
44,,4,00:13:36.315000,bazinga,1,128,23,38,44,23
45,,2,00:13:45.263000,lol,1,128,23,38,44,23
46,,3,00:13:58.064000,i think we need to hit the edges that the wind goes towards. pretty sure that would work better,1,128,23,38,44,23
47,3.0,1,00:14:01.983000,wish we could put fire out with humor,1,128,23,38,44,23
