,SA,Turn Taking,Time,Total,Simulation,Total Turns,Total Turns 1,Total Turns 2,Total Turns 3,Total Turns 4
0,,2,00:03:34.634000,I am Bart102,0,163,46,46,13,58
1,,4,00:03:58.156000,Fires are out in all sections,0,163,46,46,13,58
2,,4,00:04:05.109000,Elsie 1 All Fires Out,0,163,46,46,13,58
3,,2,00:04:28.179000,Where sll the fitr sy,0,163,46,46,13,58
4,,4,00:04:34.163000,Elsie 1 Great Job,0,163,46,46,13,58
5,,2,00:04:34.944000,fire at,0,163,46,46,13,58
6,,2,00:06:33.796000,Did we win already lol,0,163,46,46,13,58
7,6.0,4,00:07:28.795000,Assembly in Area Far Left,0,163,46,46,13,58
8,,4,00:08:27.300000,Other Left,0,163,46,46,13,58
9,,1,00:08:57.679000,i think we are doing pretty good,0,163,46,46,13,58
10,,2,00:09:48.329000,i believe so,0,163,46,46,13,58
11,6.0,4,00:10:00,Assembly in area center of all three land mas,0,163,46,46,13,58
12,6.0,2,00:00:22.577000,LETS DO THIS,1,163,46,46,13,58
13,6.0,4,00:00:45.593000,I will take the top half,1,163,46,46,13,58
14,,2,00:00:56.452000,Aight,1,163,46,46,13,58
15,,1,00:03:00.756000,this is way harder than training,1,163,46,46,13,58
16,3.0,2,00:03:09.122000,we getting destroyed,1,163,46,46,13,58
17,,1,00:03:16.873000,yea we are,1,163,46,46,13,58
18,,4,00:03:20.852000,Good Job,1,163,46,46,13,58
19,,2,00:03:45.103000,top,1,163,46,46,13,58
20,,4,00:03:58.506000,Thanks,1,163,46,46,13,58
21,3.0,3,00:04:31.868000,way harder than i thought,1,163,46,46,13,58
22,,4,00:04:41.741000,Easu,1,163,46,46,13,58
23,,1,00:04:44.332000,i know right,1,163,46,46,13,58
24,3.0,4,00:05:47.679000,We are own this fire,1,163,46,46,13,58
25,,2,00:06:00.667000,yesss,1,163,46,46,13,58
26,,1,00:07:37.787000,fire on the houses,1,163,46,46,13,58
27,,4,00:08:36.670000,We lost a lot in upeer right,1,163,46,46,13,58
28,,2,00:08:52.891000,yes it wouldnt stop spreading,1,163,46,46,13,58
29,,4,00:11:13.924000,Good Job on the right,1,163,46,46,13,58
30,,1,00:12:10.127000,what is up with this!,1,163,46,46,13,58
