,SA,Turn Taking,Time,Total,Simulation,Total Turns,Total Turns 1,Total Turns 2,Total Turns 3,Total Turns 4
0,,2,00:01:26.058000,Anyone see any fires?,0,127,19,44,41,23
1,6.0,4,00:02:28.428000,You have to scroll the screen.,0,127,19,44,41,23
2,3.0,2,00:03:33.760000,Oh nice thank you,0,127,19,44,41,23
3,,2,00:04:29.670000,Big papa looking for mama bear come in mama bear,0,127,19,44,41,23
4,,2,00:05:25.273000,So this training map is pretty small?,0,127,19,44,41,23
5,,3,00:05:50.752000,Yes it is.,0,127,19,44,41,23
6,,4,00:06:33.987000,Should make it easier to divide up right?,0,127,19,44,41,23
7,3.0,2,00:06:55.168000,Makes sense,0,127,19,44,41,23
8,,1,00:06:58.842000,yea divide in fours?,0,127,19,44,41,23
9,,3,00:07:33.896000,I see four sections just like on the training video...,0,127,19,44,41,23
10,,4,00:08:03.246000,Yep,0,127,19,44,41,23
11,6.0,3,00:08:12.019000,However it may be better to have a team of two for the upper left sections,0,127,19,44,41,23
12,6.0,2,00:08:30.162000,It might also make sense to hang out in the middle and send a couple units to the fires? Lots of strategies i bet,0,127,19,44,41,23
13,6.0,1,00:08:43.259000,and both teams cover this middle area?,0,127,19,44,41,23
14,,3,00:08:59.693000,Perhaps,0,127,19,44,41,23
15,6.0,2,00:08:59.987000,Hang out in your quad but kinda near the middle just another strategy im throwing out there,0,127,19,44,41,23
16,,1,00:09:25.727000,i like the hang out towards the middle and cover your quad if needed,0,127,19,44,41,23
17,,4,00:09:42.494000,Yeah quads have water tanks but the middle doesn't,0,127,19,44,41,23
18,3.0,2,00:09:58.973000,Big papa can only hold so much water so i know ill need help haha,0,127,19,44,41,23
19,,2,00:00:14.252000,Hey yall do we wanna divide up into quads?,1,127,19,44,41,23
20,6.0,3,00:00:27.385000,elsie will take the bottom right quad,1,127,19,44,41,23
21,6.0,2,00:00:44.196000,Big papa will look after the top right,1,127,19,44,41,23
22,6.0,4,00:00:49.510000,I will take the bottom left,1,127,19,44,41,23
23,6.0,1,00:00:56.735000,elvis will take the top right,1,127,19,44,41,23
24,3.0,3,00:01:11.860000,We have larger water tanks,1,127,19,44,41,23
25,6.0,2,00:01:51.424000,Since elvis is top right i will take top left,1,127,19,44,41,23
26,,2,00:03:07.902000,We found if ya fill up and hang out toward the middle of your quad u can help others out faster,1,127,19,44,41,23
27,3.0,3,00:03:15.758000,what is the watertank size on the firetrucks?,1,127,19,44,41,23
28,4.0,2,00:03:24.203000,100,1,127,19,44,41,23
29,3.0,3,00:03:32.559000,okay choppers are only 80,1,127,19,44,41,23
30,3.0,2,00:03:41.707000,Think helicopters are faster to make up for it,1,127,19,44,41,23
31,3.0,3,00:03:53.146000,helis can go 140 mph,1,127,19,44,41,23
32,3.0,2,00:04:06.403000,truck is 100,1,127,19,44,41,23
33,6.0,2,00:04:30.631000,Big papa looking for mama bear come in mama bear,1,127,19,44,41,23
34,,3,00:04:42.265000,She's in the woods...,1,127,19,44,41,23
35,,3,00:05:45.279000,top right fires,1,127,19,44,41,23
36,,2,00:07:09.892000,Anyone get the feeling the whole place is about to catch fire? haha,1,127,19,44,41,23
37,6.0,3,00:07:44.800000,... dont say that again!,1,127,19,44,41,23
