,Turn Taking,Time,Total,Simulation,SA,Total Turns,Total Turns 1,Total Turns 2,Total Turns 3,Total Turns 4
0,3,00:05:52.187000,ok we need to divide up so we dont end up putting out the same fires,0,6.0,93,26,35,17,15
1,3,00:06:13.750000,ill take the square forest,0,,93,26,35,17,15
2,2,00:06:16.815000,ok everyone go to a sopt,0,,93,26,35,17,15
3,1,00:06:27.304000,I'll take the larger group of houses,0,,93,26,35,17,15
4,4,00:06:47.627000,Ill take the houses and the little forest beside it.,0,,93,26,35,17,15
5,2,00:07:15.939000,the helicopters are faster so one of them should take the central forest,0,3.0,93,26,35,17,15
6,2,00:07:31.929000,there's no water source close to it,0,,93,26,35,17,15
7,1,00:07:48.597000,"ok. i can do that. i""m by the larger housing section",0,,93,26,35,17,15
8,2,00:08:15.259000,wow,0,,93,26,35,17,15
9,4,00:08:37.793000,I can help with the middle section too,0,,93,26,35,17,15
10,3,00:09:21.651000,yeah. helicopters if you see like ALOT of fires in one section help out.,0,6.0,93,26,35,17,15
11,1,00:09:27.857000,ok,0,,93,26,35,17,15
12,2,00:00:26.976000,ok guys just pick a corner,1,,93,26,35,17,15
13,3,00:00:32.786000,ok,1,,93,26,35,17,15
14,1,00:00:38.331000,ok,1,,93,26,35,17,15
15,4,00:01:00.366000,This area is way bigger! Ill take the top right corner and the top of the big forest,1,,93,26,35,17,15
16,2,00:12:30.167000,i think were loosing,1,,93,26,35,17,15
17,1,00:12:46.433000,i think so too,1,,93,26,35,17,15
18,3,00:13:21.958000,yeahh..good thing we arent actual fire fighters!,1,,93,26,35,17,15
19,2,00:13:32.397000,right? lol,1,,93,26,35,17,15
20,2,00:14:10.989000,up top,1,,93,26,35,17,15
21,2,00:00:03.836000,I think we have been doing ok,2,,93,26,35,17,15
22,3,00:00:13.004000,yeah.,2,,93,26,35,17,15
23,1,00:00:18.226000,"i think so too.we""ve been communicating and stuff",2,,93,26,35,17,15
24,4,00:00:25.262000,Yeah not bad at all.,2,,93,26,35,17,15
25,4,00:00:41.488000,How are we going to split up this time?,2,,93,26,35,17,15
26,2,00:00:48.415000,so any improveemts?,2,,93,26,35,17,15
27,1,00:01:02.750000,dividing the corners works pretty well,2,,93,26,35,17,15
28,2,00:01:14.519000,it did seem to work well,2,,93,26,35,17,15
