,SA,Turn Taking,Time,Total,Simulation,Total Turns,Total Turns 1,Total Turns 2,Total Turns 3,Total Turns 4
0,6.0,3,00:01:35.800000,the fire trucks should deal with fires on the edge of the forest dont you think?,0,88,16,12,30,30
1,,1,00:02:02.166000,makes sense yeah,0,88,16,12,30,30
2,6.0,4,00:02:22.235000,and keep an eye on the towns,0,88,16,12,30,30
3,,4,00:05:05.516000,where are the fires now?,0,88,16,12,30,30
4,,3,00:05:12.416000,i dont even know,0,88,16,12,30,30
5,,4,00:05:33.682000,the town at the bottom hasnt been hit yet so it may be next,0,88,16,12,30,30
6,6.0,3,00:03:28.660000,should we all straegically place ourselves in certain placs for future fires?,1,88,16,12,30,30
7,,2,00:03:48.237000,Yes. Good idea!,1,88,16,12,30,30
8,6.0,4,00:03:50.875000,an engine and a helicopter should cover the top half and the other two should cover the lower,1,88,16,12,30,30
9,4.0,3,00:04:08.346000,ok i am a engine i at in the top right area,1,88,16,12,30,30
10,,1,00:04:08.630000,makes sense,1,88,16,12,30,30
11,,4,00:04:20.393000,its a lot of territory to cover,1,88,16,12,30,30
12,,3,00:04:24.121000,fire bottom right\,1,88,16,12,30,30
13,,2,00:04:31.134000,bottom left,1,88,16,12,30,30
14,6.0,4,00:04:50.330000,also you can scroll around the map to see where fires are before you move. much faser.,1,88,16,12,30,30
15,,3,00:07:27.867000,VILLAGE FIRES,1,88,16,12,30,30
16,,4,00:09:57.586000,i guess this is our little break,1,88,16,12,30,30
17,,3,00:10:22.150000,yup,1,88,16,12,30,30
18,,3,00:10:43.051000,top right,1,88,16,12,30,30
19,,1,00:10:43.911000,too soon fire up righ,1,88,16,12,30,30
20,,3,00:12:20.775000,well dang,1,88,16,12,30,30
21,,3,00:12:49.698000,salvage whats left?,1,88,16,12,30,30
22,,1,00:12:49.918000,why :(,1,88,16,12,30,30
23,,4,00:13:23.779000,well....we've narrowed down where fires can start now atleast.... XD,1,88,16,12,30,30
24,,4,00:13:42.696000,top right,1,88,16,12,30,30
25,,4,00:14:08.501000,top left,1,88,16,12,30,30
26,,3,00:00:30.037000,how do we view professional success?,2,88,16,12,30,30
27,,3,00:00:56.488000,do they mean how we view our success as a team?,2,88,16,12,30,30
28,,4,00:01:14.162000,So professional success is....reaching the goals you set for yourself? Being able to provide for yourself? Doing the best you can at your job,2,88,16,12,30,30
29,,4,00:01:28.016000,No it has nothing to do with this game,2,88,16,12,30,30
30,,4,00:01:37.137000,It's to take our mind off the game.,2,88,16,12,30,30
31,,1,00:02:09.845000,so not about the game but as a group period?,2,88,16,12,30,30
32,,3,00:02:18.007000,In that case i feel i was prettty successful,2,88,16,12,30,30
33,,2,00:02:18.033000,Yes.,2,88,16,12,30,30
34,,3,00:02:40.714000,i also think we did our best job at keeping the fires down,2,88,16,12,30,30
